mark_id,student_id,subject_id,internal_marks,midterm_marks,final_marks,total_marks,grade
50,STU0857,CS101,15.00,26.00,43.00,84.00,A
51,STU0193,CS101,14.00,25.00,43.00,82.00,A
52,STU0201,CS101,15.00,22.00,38.00,75.00,B+
53,STU0849,CS101,14.00,21.00,40.00,75.00,B+
54,STU0209,CS101,12.00,21.00,42.00,75.00,B+
55,STU0841,CS101,13.00,23.00,34.00,70.00,B+
56,STU0217,CS101,14.00,25.00,41.00,80.00,A
57,STU0833,CS101,13.00,24.00,34.00,71.00,B+
58,STU0225,CS101,16.00,26.00,44.00,86.00,A
59,STU0233,CS101,17.00,22.00,36.00,75.00,B+
60,STU0825,CS101,12.00,22.00,37.00,71.00,B+
61,STU0241,CS101,15.00,25.00,39.00,79.00,B+
62,STU0977,CS101,16.00,23.00,37.00,76.00,B+
63,STU0817,CS101,16.00,26.00,41.00,83.00,A
64,STU0249,CS101,13.00,26.00,40.00,79.00,B+
65,STU0033,CS101,16.00,22.00,43.00,81.00,A
66,STU0809,CS101,12.00,22.00,41.00,75.00,B+
67,STU0257,CS101,17.00,21.00,38.00,76.00,B+
68,STU0265,CS101,17.00,25.00,43.00,85.00,A
69,STU0801,CS101,12.00,23.00,39.00,74.00,B+
70,STU0273,CS101,15.00,25.00,42.00,82.00,A
71,STU0793,CS101,14.00,25.00,39.00,78.00,B+
72,STU0281,CS101,16.00,24.00,34.00,74.00,B+
73,STU0785,CS101,14.00,25.00,41.00,80.00,A
74,STU0289,CS101,12.00,26.00,36.00,74.00,B+
75,STU0297,CS101,16.00,25.00,35.00,76.00,B+
76,STU0777,CS101,12.00,22.00,40.00,74.00,B+
77,STU0305,CS101,12.00,26.00,37.00,75.00,B+
78,STU0769,CS101,13.00,24.00,37.00,74.00,B+
79,STU0313,CS101,17.00,25.00,43.00,85.00,A
80,STU0041,CS101,14.00,21.00,42.00,77.00,B+
81,STU0761,CS101,13.00,22.00,41.00,76.00,B+
82,STU0321,CS101,17.00,22.00,36.00,75.00,B+
83,STU0329,CS101,13.00,24.00,38.00,75.00,B+
84,STU0753,CS101,17.00,26.00,38.00,81.00,A
85,STU0337,CS101,13.00,25.00,36.00,74.00,B+
86,STU0745,CS101,12.00,26.00,41.00,79.00,B+
87,STU0345,CS101,15.00,24.00,36.00,75.00,B+
88,STU0737,CS101,15.00,21.00,36.00,72.00,B+
89,STU0353,CS101,13.00,22.00,38.00,73.00,B+
90,STU0969,CS101,17.00,26.00,41.00,84.00,A
91,STU0361,CS101,16.00,24.00,34.00,74.00,B+
92,STU0729,CS101,15.00,21.00,40.00,76.00,B+
93,STU0369,CS101,17.00,23.00,40.00,80.00,A
94,STU0721,CS101,13.00,26.00,34.00,73.00,B+
95,STU0377,CS101,14.00,24.00,40.00,78.00,B+
96,STU0049,CS101,12.00,21.00,38.00,71.00,B+
97,STU0713,CS101,17.00,26.00,40.00,83.00,A
98,STU0385,CS101,16.00,23.00,39.00,78.00,B+
99,STU0393,CS101,17.00,26.00,36.00,79.00,B+
100,STU0705,CS101,16.00,24.00,44.00,84.00,A
101,STU0401,CS101,12.00,25.00,38.00,75.00,B+
102,STU0697,CS101,16.00,26.00,37.00,79.00,B+
103,STU0409,CS101,17.00,23.00,39.00,79.00,B+
104,STU0689,CS101,17.00,25.00,42.00,84.00,A
105,STU0417,CS101,12.00,26.00,39.00,77.00,B+
106,STU0425,CS101,13.00,22.00,38.00,73.00,B+
107,STU0961,CS101,15.00,21.00,42.00,78.00,B+
108,STU0681,CS101,12.00,21.00,39.00,72.00,B+
109,STU0433,CS101,15.00,24.00,41.00,80.00,A
110,STU0673,CS101,17.00,21.00,43.00,81.00,A
111,STU0441,CS101,14.00,23.00,35.00,72.00,B+
112,STU0057,CS101,16.00,22.00,41.00,79.00,B+
113,STU0665,CS101,13.00,25.00,41.00,79.00,B+
114,STU0449,CS101,12.00,25.00,37.00,74.00,B+
115,STU0457,CS101,15.00,25.00,37.00,77.00,B+
116,STU0657,CS101,17.00,24.00,37.00,78.00,B+
117,STU0465,CS101,14.00,25.00,39.00,78.00,B+
118,STU0649,CS101,16.00,24.00,36.00,76.00,B+
119,STU0473,CS101,13.00,21.00,42.00,76.00,B+
120,STU0009,CS101,16.00,26.00,37.00,79.00,B+
121,STU0641,CS101,17.00,26.00,40.00,83.00,A
122,STU0481,CS101,17.00,22.00,44.00,83.00,A
123,STU0489,CS101,17.00,21.00,39.00,77.00,B+
124,STU0633,CS101,12.00,23.00,38.00,73.00,B+
125,STU0497,CS101,16.00,24.00,43.00,83.00,A
126,STU0914,IT201,16.00,25.00,41.00,82.00,A
127,STU0626,IT201,15.00,25.00,40.00,80.00,A
128,STU0722,IT201,17.00,22.00,37.00,76.00,B+
129,STU0874,IT201,14.00,24.00,43.00,81.00,A
130,STU0810,IT201,17.00,21.00,35.00,73.00,B+
131,STU0370,IT201,15.00,21.00,34.00,70.00,B+
132,STU0442,IT201,16.00,21.00,34.00,71.00,B+
133,STU0258,IT201,14.00,22.00,37.00,73.00,B+
134,STU0418,IT201,15.00,26.00,37.00,78.00,B+
135,STU0362,IT201,12.00,23.00,37.00,72.00,B+
136,STU0034,IT201,14.00,24.00,44.00,82.00,A
137,STU0466,IT201,15.00,26.00,44.00,85.00,A
138,STU0170,IT201,17.00,24.00,37.00,78.00,B+
139,STU0802,IT201,17.00,23.00,37.00,77.00,B+
140,STU0122,IT201,14.00,24.00,43.00,81.00,A
141,STU0266,IT201,12.00,24.00,38.00,74.00,B+
142,STU0074,IT201,12.00,22.00,36.00,70.00,B+
143,STU0730,IT201,13.00,25.00,40.00,78.00,B+
144,STU0114,IT201,15.00,21.00,44.00,80.00,A
145,STU0354,IT201,12.00,21.00,34.00,67.00,B
146,STU0738,IT201,14.00,23.00,40.00,77.00,B+
147,STU0946,IT201,15.00,21.00,44.00,80.00,A
148,STU0570,IT201,14.00,23.00,35.00,72.00,B+
149,STU0274,IT201,15.00,24.00,39.00,78.00,B+
150,STU0106,IT201,14.00,24.00,39.00,77.00,B+
151,STU0346,IT201,14.00,26.00,34.00,74.00,B+
152,STU0746,IT201,16.00,22.00,36.00,74.00,B+
153,STU0794,IT201,13.00,24.00,42.00,79.00,B+
154,STU0962,IT201,12.00,21.00,35.00,68.00,B
155,STU0338,IT201,16.00,23.00,43.00,82.00,A
156,STU0666,IT201,14.00,25.00,37.00,76.00,B+
157,STU0282,IT201,15.00,24.00,35.00,74.00,B+
158,STU0178,IT201,14.00,25.00,35.00,74.00,B+
159,STU0330,IT201,15.00,22.00,41.00,78.00,B+
160,STU0458,IT201,12.00,25.00,35.00,72.00,B+
161,STU0018,IT201,14.00,25.00,39.00,78.00,B+
162,STU0786,IT201,12.00,22.00,43.00,77.00,B+
163,STU0634,IT201,12.00,21.00,39.00,72.00,B+
164,STU0498,IT201,15.00,24.00,35.00,74.00,B+
165,STU0290,IT201,12.00,22.00,40.00,74.00,B+
166,STU0394,IT201,16.00,21.00,40.00,77.00,B+
167,STU0754,IT201,12.00,22.00,42.00,76.00,B+
168,STU0042,IT201,12.00,24.00,36.00,72.00,B+
169,STU0322,IT201,12.00,21.00,41.00,74.00,B+
170,STU0474,IT201,14.00,26.00,44.00,84.00,A
171,STU0778,IT201,12.00,22.00,42.00,76.00,B+
172,STU0450,IT201,15.00,23.00,44.00,82.00,A
173,STU0298,IT201,16.00,22.00,34.00,72.00,B+
174,STU0866,IT201,15.00,23.00,35.00,73.00,B+
175,STU0490,IT201,14.00,23.00,40.00,77.00,B+
176,STU0578,IT201,17.00,22.00,43.00,82.00,A
177,STU0562,IT201,16.00,23.00,41.00,80.00,A
178,STU0658,IT201,12.00,22.00,37.00,71.00,B+
179,STU0994,IT201,16.00,21.00,44.00,81.00,A
180,STU0762,IT201,14.00,24.00,34.00,72.00,B+
181,STU0306,IT201,14.00,22.00,41.00,77.00,B+
182,STU0186,IT201,13.00,23.00,39.00,75.00,B+
183,STU0314,IT201,14.00,26.00,39.00,79.00,B+
184,STU0970,IT201,12.00,26.00,34.00,72.00,B+
185,STU0770,IT201,17.00,24.00,42.00,83.00,A
186,STU0058,IT201,14.00,23.00,38.00,75.00,B+
187,STU0146,IT201,14.00,22.00,44.00,80.00,A
188,STU0706,IT201,14.00,21.00,44.00,79.00,B+
189,STU0682,IT201,16.00,25.00,41.00,82.00,A
190,STU0698,IT201,12.00,25.00,36.00,73.00,B+
191,STU0858,IT201,15.00,24.00,43.00,82.00,A
192,STU0554,IT201,15.00,21.00,39.00,75.00,B+
193,STU0426,IT201,16.00,24.00,37.00,77.00,B+
194,STU0194,IT201,16.00,23.00,44.00,83.00,A
195,STU0922,IT201,16.00,23.00,42.00,81.00,A
196,STU0586,IT201,12.00,23.00,44.00,79.00,B+
197,STU0026,IT201,15.00,23.00,39.00,77.00,B+
198,STU0010,IT201,14.00,26.00,37.00,77.00,B+
199,STU0402,IT201,12.00,25.00,41.00,78.00,B+
200,STU0850,IT201,13.00,23.00,37.00,73.00,B+
201,STU0890,IT201,13.00,22.00,38.00,73.00,B+
202,STU0202,IT201,12.00,26.00,39.00,77.00,B+
203,STU0410,IT201,15.00,24.00,37.00,76.00,B+
204,STU0546,IT201,14.00,23.00,40.00,77.00,B+
205,STU0098,IT201,17.00,26.00,43.00,86.00,A
206,STU0050,IT201,15.00,25.00,39.00,79.00,B+
207,STU0594,IT201,17.00,24.00,40.00,81.00,A
208,STU0690,IT201,17.00,26.00,35.00,78.00,B+
209,STU0482,IT201,15.00,24.00,39.00,78.00,B+
210,STU0210,IT201,14.00,24.00,44.00,82.00,A
211,STU0154,IT201,13.00,22.00,36.00,71.00,B+
212,STU0538,IT201,13.00,26.00,43.00,82.00,A
213,STU0386,IT201,13.00,23.00,39.00,75.00,B+
214,STU0842,IT201,12.00,24.00,37.00,73.00,B+
215,STU0898,IT201,16.00,22.00,42.00,80.00,A
216,STU0602,IT201,12.00,21.00,36.00,69.00,B
217,STU0530,IT201,12.00,22.00,42.00,76.00,B+
218,STU0218,IT201,15.00,23.00,40.00,78.00,B+
219,STU0930,IT201,13.00,23.00,38.00,74.00,B+
220,STU0066,IT201,14.00,22.00,40.00,76.00,B+
221,STU0002,IT201,15.00,24.00,39.00,78.00,B+
222,STU0090,IT201,15.00,26.00,35.00,76.00,B+
223,STU0834,IT201,16.00,22.00,40.00,78.00,B+
224,STU0130,IT201,17.00,21.00,35.00,73.00,B+
225,STU0522,IT201,12.00,22.00,38.00,72.00,B+
226,STU0226,IT201,12.00,23.00,37.00,72.00,B+
227,STU0882,IT201,16.00,23.00,34.00,73.00,B+
228,STU0714,IT201,12.00,21.00,44.00,77.00,B+
229,STU0642,IT201,16.00,26.00,43.00,85.00,A
230,STU0610,IT201,17.00,22.00,40.00,79.00,B+
231,STU0138,IT201,13.00,22.00,35.00,70.00,B+
232,STU0826,IT201,15.00,25.00,35.00,75.00,B+
233,STU0434,IT201,12.00,24.00,35.00,71.00,B+
234,STU0234,IT201,12.00,22.00,38.00,72.00,B+
235,STU0162,IT201,15.00,23.00,40.00,78.00,B+
236,STU0514,IT201,16.00,21.00,36.00,73.00,B+
237,STU0978,IT201,12.00,21.00,40.00,73.00,B+
238,STU0906,IT201,17.00,26.00,41.00,84.00,A
239,STU0954,IT201,15.00,23.00,40.00,78.00,B+
240,STU0938,IT201,13.00,21.00,43.00,77.00,B+
241,STU0618,IT201,16.00,26.00,36.00,78.00,B+
242,STU0242,IT201,16.00,21.00,40.00,77.00,B+
243,STU0986,IT201,15.00,24.00,44.00,83.00,A
244,STU0506,IT201,13.00,26.00,38.00,77.00,B+
245,STU0378,IT201,14.00,21.00,42.00,77.00,B+
246,STU0818,IT201,15.00,25.00,35.00,75.00,B+
247,STU0674,IT201,13.00,23.00,40.00,76.00,B+
248,STU0650,IT201,17.00,25.00,41.00,83.00,A
249,STU0082,IT201,15.00,24.00,41.00,80.00,A
250,STU0250,IT201,16.00,25.00,34.00,75.00,B+
251,STU0907,EC301,13.00,25.00,43.00,81.00,A
252,STU0907,EC302,17.00,22.00,43.00,82.00,A
253,STU0643,EC301,13.00,21.00,43.00,77.00,B+
254,STU0643,EC302,15.00,24.00,42.00,81.00,A
255,STU0131,EC301,14.00,23.00,40.00,77.00,B+
256,STU0131,EC302,17.00,22.00,39.00,78.00,B+
257,STU0899,EC301,12.00,22.00,43.00,77.00,B+
258,STU0899,EC302,17.00,24.00,36.00,77.00,B+
259,STU0411,EC301,15.00,25.00,36.00,76.00,B+
260,STU0411,EC302,14.00,26.00,44.00,84.00,A
261,STU0139,EC301,12.00,24.00,35.00,71.00,B+
262,STU0139,EC302,13.00,26.00,41.00,80.00,A
263,STU0019,EC301,16.00,25.00,42.00,83.00,A
264,STU0019,EC302,14.00,21.00,40.00,75.00,B+
265,STU0891,EC301,14.00,21.00,41.00,76.00,B+
266,STU0891,EC302,14.00,26.00,44.00,84.00,A
267,STU0147,EC301,15.00,26.00,42.00,83.00,A
268,STU0147,EC302,17.00,26.00,40.00,83.00,A
269,STU0691,EC301,15.00,25.00,43.00,83.00,A
270,STU0691,EC302,14.00,25.00,34.00,73.00,B+
271,STU0155,EC301,14.00,21.00,44.00,79.00,B+
272,STU0155,EC302,16.00,26.00,38.00,80.00,A
273,STU0883,EC301,14.00,21.00,35.00,70.00,B+
274,STU0883,EC302,17.00,23.00,42.00,82.00,A
275,STU0627,EC301,14.00,23.00,35.00,72.00,B+
276,STU0627,EC302,13.00,23.00,40.00,76.00,B+
277,STU0163,EC301,16.00,23.00,34.00,73.00,B+
278,STU0163,EC302,17.00,26.00,39.00,82.00,A
279,STU0875,EC301,12.00,24.00,34.00,70.00,B+
280,STU0875,EC302,13.00,22.00,41.00,76.00,B+
281,STU0171,EC301,14.00,24.00,44.00,82.00,A
282,STU0171,EC302,15.00,24.00,39.00,78.00,B+
283,STU0419,EC301,13.00,25.00,41.00,79.00,B+
284,STU0419,EC302,14.00,23.00,41.00,78.00,B+
285,STU0867,EC301,16.00,26.00,34.00,76.00,B+
286,STU0867,EC302,15.00,23.00,36.00,74.00,B+
287,STU0179,EC301,14.00,22.00,40.00,76.00,B+
288,STU0179,EC302,17.00,23.00,35.00,75.00,B+
289,STU0683,EC301,17.00,22.00,37.00,76.00,B+
290,STU0683,EC302,12.00,23.00,34.00,69.00,B
291,STU0187,EC301,15.00,24.00,42.00,81.00,A
292,STU0187,EC302,12.00,26.00,39.00,77.00,B+
293,STU0859,EC301,12.00,24.00,40.00,76.00,B+
294,STU0859,EC302,12.00,24.00,38.00,74.00,B+
295,STU0195,EC301,16.00,22.00,37.00,75.00,B+
296,STU0195,EC302,16.00,23.00,44.00,83.00,A
297,STU0851,EC301,13.00,26.00,36.00,75.00,B+
298,STU0851,EC302,16.00,23.00,38.00,77.00,B+
299,STU0427,EC301,17.00,22.00,42.00,81.00,A
300,STU0427,EC302,14.00,21.00,42.00,77.00,B+
301,STU0203,EC301,12.00,26.00,39.00,77.00,B+
302,STU0203,EC302,15.00,25.00,36.00,76.00,B+
303,STU0027,EC301,16.00,22.00,39.00,77.00,B+
304,STU0027,EC302,14.00,22.00,40.00,76.00,B+
305,STU0843,EC301,17.00,21.00,37.00,75.00,B+
306,STU0843,EC302,14.00,23.00,39.00,76.00,B+
307,STU0211,EC301,13.00,22.00,44.00,79.00,B+
308,STU0211,EC302,16.00,26.00,36.00,78.00,B+
309,STU0483,EC301,14.00,24.00,34.00,72.00,B+
310,STU0483,EC302,17.00,26.00,35.00,78.00,B+
311,STU0219,EC301,16.00,23.00,37.00,76.00,B+
312,STU0219,EC302,15.00,24.00,40.00,79.00,B+
313,STU0835,EC301,12.00,22.00,39.00,73.00,B+
314,STU0835,EC302,13.00,25.00,38.00,76.00,B+
315,STU0675,EC301,13.00,21.00,34.00,68.00,B
316,STU0675,EC302,16.00,25.00,43.00,84.00,A
317,STU0227,EC301,15.00,24.00,39.00,78.00,B+
318,STU0227,EC302,13.00,25.00,39.00,77.00,B+
319,STU0979,EC301,13.00,26.00,44.00,83.00,A
320,STU0979,EC302,17.00,24.00,44.00,85.00,A
321,STU0827,EC301,12.00,23.00,35.00,70.00,B+
322,STU0827,EC302,13.00,24.00,35.00,72.00,B+
323,STU0235,EC301,13.00,24.00,41.00,78.00,B+
324,STU0235,EC302,13.00,26.00,35.00,74.00,B+
325,STU0435,EC301,12.00,21.00,41.00,74.00,B+
326,STU0435,EC302,16.00,21.00,40.00,77.00,B+
327,STU0819,EC301,15.00,24.00,42.00,81.00,A
328,STU0819,EC302,14.00,25.00,40.00,79.00,B+
329,STU0243,EC301,15.00,22.00,37.00,74.00,B+
330,STU0243,EC302,14.00,24.00,43.00,81.00,A
331,STU0955,EC301,17.00,26.00,41.00,84.00,A
332,STU0955,EC302,13.00,22.00,35.00,70.00,B+
333,STU0251,EC301,16.00,26.00,37.00,79.00,B+
334,STU0251,EC302,17.00,21.00,35.00,73.00,B+
335,STU0811,EC301,15.00,21.00,39.00,75.00,B+
336,STU0811,EC302,15.00,21.00,43.00,79.00,B+
337,STU0259,EC301,14.00,23.00,40.00,77.00,B+
338,STU0259,EC302,15.00,21.00,36.00,72.00,B+
339,STU0803,EC301,13.00,22.00,43.00,78.00,B+
340,STU0803,EC302,13.00,26.00,39.00,78.00,B+
341,STU0443,EC301,16.00,23.00,43.00,82.00,A
342,STU0443,EC302,13.00,25.00,34.00,72.00,B+
343,STU0267,EC301,15.00,23.00,43.00,81.00,A
344,STU0267,EC302,12.00,21.00,36.00,69.00,B
345,STU0035,EC301,12.00,24.00,44.00,80.00,A
346,STU0035,EC302,12.00,23.00,42.00,77.00,B+
347,STU0795,EC301,12.00,24.00,41.00,77.00,B+
348,STU0795,EC302,13.00,26.00,36.00,75.00,B+
349,STU0635,EC301,12.00,25.00,42.00,79.00,B+
350,STU0635,EC302,14.00,25.00,43.00,82.00,A
351,STU0275,EC301,17.00,26.00,42.00,85.00,A
352,STU0275,EC302,14.00,22.00,36.00,72.00,B+
353,STU0667,EC301,13.00,24.00,39.00,76.00,B+
354,STU0667,EC302,12.00,26.00,44.00,82.00,A
355,STU0283,EC301,17.00,24.00,41.00,82.00,A
356,STU0283,EC302,17.00,21.00,37.00,75.00,B+
357,STU0787,EC301,17.00,21.00,42.00,80.00,A
358,STU0787,EC302,12.00,24.00,43.00,79.00,B+
359,STU0291,EC301,12.00,22.00,38.00,72.00,B+
360,STU0291,EC302,13.00,25.00,37.00,75.00,B+
361,STU0779,EC301,15.00,25.00,36.00,76.00,B+
362,STU0779,EC302,14.00,24.00,34.00,72.00,B+
363,STU0299,EC301,13.00,23.00,41.00,77.00,B+
364,STU0299,EC302,14.00,26.00,35.00,75.00,B+
365,STU0971,EC301,17.00,22.00,39.00,78.00,B+
366,STU0971,EC302,12.00,23.00,43.00,78.00,B+
367,STU0451,EC301,17.00,24.00,43.00,84.00,A
368,STU0451,EC302,17.00,24.00,35.00,76.00,B+
369,STU0771,EC301,13.00,23.00,41.00,77.00,B+
370,STU0771,EC302,12.00,21.00,38.00,71.00,B+
371,STU0307,EC301,12.00,24.00,40.00,76.00,B+
372,STU0307,EC302,16.00,24.00,35.00,75.00,B+
373,STU0315,EC301,12.00,23.00,38.00,73.00,B+
374,STU0315,EC302,13.00,24.00,37.00,74.00,B+
375,STU0659,EC301,15.00,21.00,37.00,73.00,B+
376,STU0659,EC302,16.00,25.00,34.00,75.00,B+
377,STU0763,EC301,15.00,21.00,34.00,70.00,B+
378,STU0763,EC302,14.00,22.00,39.00,75.00,B+
379,STU0323,EC301,13.00,22.00,40.00,75.00,B+
380,STU0323,EC302,15.00,22.00,38.00,75.00,B+
381,STU0755,EC301,14.00,21.00,35.00,70.00,B+
382,STU0755,EC302,15.00,25.00,37.00,77.00,B+
383,STU0331,EC301,16.00,26.00,42.00,84.00,A
384,STU0331,EC302,17.00,23.00,39.00,79.00,B+
385,STU0043,EC301,12.00,26.00,43.00,81.00,A
386,STU0043,EC302,13.00,22.00,41.00,76.00,B+
387,STU0459,EC301,12.00,21.00,37.00,70.00,B+
388,STU0459,EC302,17.00,22.00,36.00,75.00,B+
389,STU0747,EC301,16.00,22.00,39.00,77.00,B+
390,STU0747,EC302,17.00,26.00,39.00,82.00,A
391,STU0339,EC301,15.00,26.00,35.00,76.00,B+
392,STU0339,EC302,17.00,21.00,40.00,78.00,B+
393,STU0059,EC301,17.00,22.00,43.00,82.00,A
394,STU0059,EC302,13.00,21.00,40.00,74.00,B+
395,STU0491,EC301,13.00,25.00,44.00,82.00,A
396,STU0491,EC302,15.00,26.00,38.00,79.00,B+
397,STU0347,EC301,12.00,25.00,43.00,80.00,A
398,STU0347,EC302,16.00,21.00,44.00,81.00,A
399,STU0995,EC301,16.00,24.00,39.00,79.00,B+
400,STU0995,EC302,14.00,22.00,36.00,72.00,B+
401,STU0739,EC301,16.00,23.00,44.00,83.00,A
402,STU0739,EC302,16.00,23.00,38.00,77.00,B+
403,STU0651,EC301,14.00,21.00,37.00,72.00,B+
404,STU0651,EC302,17.00,24.00,39.00,80.00,A
405,STU0355,EC301,12.00,21.00,39.00,72.00,B+
406,STU0355,EC302,17.00,26.00,39.00,82.00,A
407,STU0731,EC301,12.00,25.00,34.00,71.00,B+
408,STU0731,EC302,15.00,24.00,38.00,77.00,B+
409,STU0363,EC301,14.00,23.00,41.00,78.00,B+
410,STU0363,EC302,14.00,23.00,42.00,79.00,B+
411,STU0467,EC301,17.00,24.00,36.00,77.00,B+
412,STU0467,EC302,17.00,23.00,43.00,83.00,A
413,STU0723,EC301,12.00,25.00,35.00,72.00,B+
414,STU0723,EC302,17.00,22.00,42.00,81.00,A
415,STU0371,EC301,17.00,23.00,37.00,77.00,B+
416,STU0371,EC302,17.00,23.00,44.00,84.00,A
417,STU0963,EC301,14.00,25.00,40.00,79.00,B+
418,STU0963,EC302,15.00,22.00,37.00,74.00,B+
419,STU0507,EC301,17.00,26.00,41.00,84.00,A
420,STU0507,EC302,12.00,21.00,43.00,76.00,B+
421,STU0379,EC301,17.00,22.00,38.00,77.00,B+
422,STU0379,EC302,15.00,24.00,34.00,73.00,B+
423,STU0619,EC301,17.00,24.00,42.00,83.00,A
424,STU0619,EC302,13.00,23.00,36.00,72.00,B+
425,STU0515,EC301,14.00,26.00,34.00,74.00,B+
426,STU0515,EC302,14.00,22.00,34.00,70.00,B+
427,STU0715,EC301,14.00,23.00,37.00,74.00,B+
428,STU0715,EC302,13.00,23.00,43.00,79.00,B+
429,STU0611,EC301,17.00,24.00,40.00,81.00,A
430,STU0611,EC302,13.00,21.00,34.00,68.00,B
431,STU0523,EC301,13.00,21.00,34.00,68.00,B
432,STU0523,EC302,14.00,25.00,44.00,83.00,A
433,STU0603,EC301,17.00,22.00,36.00,75.00,B+
434,STU0603,EC302,16.00,24.00,36.00,76.00,B+
435,STU0499,EC301,14.00,23.00,37.00,74.00,B+
436,STU0499,EC302,14.00,24.00,34.00,72.00,B+
437,STU0531,EC301,17.00,24.00,41.00,82.00,A
438,STU0531,EC302,13.00,26.00,39.00,78.00,B+
439,STU0067,EC301,13.00,26.00,43.00,82.00,A
440,STU0067,EC302,16.00,23.00,35.00,74.00,B+
441,STU0387,EC301,12.00,24.00,39.00,75.00,B+
442,STU0387,EC302,15.00,24.00,36.00,75.00,B+
443,STU0539,EC301,13.00,24.00,41.00,78.00,B+
444,STU0539,EC302,16.00,22.00,43.00,81.00,A
445,STU0595,EC301,17.00,25.00,35.00,77.00,B+
446,STU0595,EC302,14.00,22.00,35.00,71.00,B+
447,STU0547,EC301,14.00,25.00,39.00,78.00,B+
448,STU0547,EC302,12.00,22.00,38.00,72.00,B+
449,STU0587,EC301,13.00,26.00,36.00,75.00,B+
450,STU0587,EC302,12.00,21.00,39.00,72.00,B+
451,STU0555,EC301,13.00,21.00,38.00,72.00,B+
452,STU0555,EC302,15.00,21.00,35.00,71.00,B+
453,STU0707,EC301,13.00,21.00,42.00,76.00,B+
454,STU0707,EC302,17.00,22.00,41.00,80.00,A
455,STU0579,EC301,17.00,23.00,34.00,74.00,B+
456,STU0579,EC302,15.00,26.00,40.00,81.00,A
457,STU0563,EC301,17.00,21.00,37.00,75.00,B+
458,STU0563,EC302,13.00,21.00,39.00,73.00,B+
459,STU0947,EC301,14.00,22.00,42.00,78.00,B+
460,STU0947,EC302,14.00,21.00,44.00,79.00,B+
461,STU0571,EC301,16.00,23.00,35.00,74.00,B+
462,STU0571,EC302,16.00,24.00,38.00,78.00,B+
463,STU0395,EC301,12.00,24.00,44.00,80.00,A
464,STU0395,EC302,12.00,24.00,38.00,74.00,B+
465,STU0075,EC301,16.00,24.00,35.00,75.00,B+
466,STU0075,EC302,15.00,24.00,34.00,73.00,B+
467,STU0011,EC301,14.00,22.00,34.00,70.00,B+
468,STU0011,EC302,12.00,21.00,44.00,77.00,B+
