internship_id,student_id,company_name,domain,start_date,end_date,status
91,STU0287,Accenture,Data Science,2025-05-04,2025-06-16,Ongoing
92,STU0289,Wipro,Data Science,2025-05-30,2025-07-30,Completed
93,STU0290,EY,Web Development,2025-05-06,2025-06-14,Completed
94,STU0293,Accenture,Web Development,2025-06-02,2025-07-30,Completed
95,STU0296,EY,Data Analytics,2025-06-15,2025-07-20,Completed
96,STU0298,EY,Cyber Security,2025-06-18,2025-07-13,Completed
97,STU0300,IBM,Software Development,2025-05-04,2025-07-04,Completed
98,STU0301,KPMG,Machine Learning,2025-06-07,2025-08-27,Completed
99,STU0308,Microsoft,Machine Learning,2025-05-25,2025-08-10,Completed
100,STU0310,TCS,Cyber Security,2025-05-29,2025-08-16,Completed
101,STU0311,EY,Cloud Computing,2025-06-26,2025-07-18,Completed
102,STU0313,EY,Cyber Security,2025-06-27,2025-08-23,Completed
103,STU0315,Capgemini,Data Analytics,2025-06-14,2025-07-11,Ongoing
104,STU0317,Deloitte,Data Analytics,2025-05-30,2025-07-26,Completed
105,STU0320,Accenture,Web Development,2025-06-23,2025-06-30,Completed
106,STU0321,KPMG,Data Science,2025-06-04,2025-08-27,Completed
107,STU0325,Deloitte,Cyber Security,2025-06-22,2025-06-28,Ongoing
108,STU0329,Accenture,Machine Learning,2025-05-15,2025-08-25,Completed
109,STU0333,EY,Cyber Security,2025-05-22,2025-07-09,Completed
110,STU0335,Infosys,Software Development,2025-05-12,2025-07-16,Completed
111,STU0337,IBM,Data Analytics,2025-06-29,2025-06-26,Completed
112,STU0338,Microsoft,Machine Learning,2025-06-18,2025-06-07,Ongoing
113,STU0342,Microsoft,Software Development,2025-06-13,2025-06-07,Completed
114,STU0345,Infosys,Cyber Security,2025-06-06,2025-06-02,Completed
115,STU0348,Wipro,Software Development,2025-05-06,2025-08-22,Completed
116,STU0349,Infosys,Web Development,2025-06-02,2025-07-09,Completed
117,STU0352,Microsoft,Software Development,2025-05-11,2025-08-22,Ongoing
118,STU0355,EY,Cloud Computing,2025-05-29,2025-06-06,Completed
119,STU0356,TCS,Machine Learning,2025-05-25,2025-08-17,Completed
120,STU0357,Infosys,Software Development,2025-05-23,2025-08-21,Ongoing
121,STU0358,TCS,Web Development,2025-05-03,2025-08-14,Ongoing
122,STU0359,Capgemini,Software Development,2025-05-28,2025-06-30,Completed
123,STU0361,Capgemini,Cyber Security,2025-06-12,2025-07-20,Ongoing
124,STU0365,IBM,Data Analytics,2025-05-31,2025-06-28,Completed
125,STU0370,Deloitte,Machine Learning,2025-05-28,2025-06-25,Completed
126,STU0371,TCS,Cyber Security,2025-06-01,2025-08-27,Ongoing
127,STU0374,TCS,Machine Learning,2025-06-05,2025-07-19,Ongoing
128,STU0375,Deloitte,Cyber Security,2025-06-20,2025-08-13,Completed
129,STU0376,TCS,Data Science,2025-05-02,2025-07-15,Completed
130,STU0377,EY,Software Development,2025-06-25,2025-08-06,Completed
131,STU0380,TCS,Cloud Computing,2025-05-12,2025-07-19,Completed
132,STU0384,IBM,Data Analytics,2025-06-07,2025-08-09,Ongoing
133,STU0386,Microsoft,Data Science,2025-05-01,2025-06-07,Completed
134,STU0387,Accenture,Web Development,2025-06-16,2025-08-21,Completed
135,STU0393,Deloitte,Machine Learning,2025-06-18,2025-06-01,Completed
136,STU0394,Capgemini,Cloud Computing,2025-05-15,2025-07-04,Completed
137,STU0397,Accenture,Software Development,2025-05-06,2025-06-14,Completed
138,STU0398,TCS,Web Development,2025-05-25,2025-08-10,Completed
139,STU0403,Accenture,Cyber Security,2025-05-31,2025-07-04,Completed
140,STU0410,Capgemini,Cloud Computing,2025-06-19,2025-07-07,Completed
141,STU0416,Wipro,Software Development,2025-06-20,2025-08-04,Completed
142,STU0418,Microsoft,Data Analytics,2025-05-22,2025-07-02,Ongoing
143,STU0419,Deloitte,Machine Learning,2025-06-16,2025-07-17,Completed
144,STU0421,Wipro,Software Development,2025-05-02,2025-07-02,Completed
145,STU0424,Deloitte,Data Analytics,2025-05-25,2025-08-07,Completed
146,STU0425,IBM,Cyber Security,2025-06-08,2025-07-21,Completed
147,STU0429,Infosys,Software Development,2025-05-06,2025-08-01,Completed
148,STU0430,Accenture,Cyber Security,2025-06-03,2025-06-03,Completed
149,STU0432,TCS,Data Science,2025-06-14,2025-06-16,Completed
150,STU0433,TCS,Cloud Computing,2025-05-25,2025-06-19,Ongoing
151,STU0434,KPMG,Data Analytics,2025-06-09,2025-08-18,Completed
152,STU0441,Infosys,Software Development,2025-06-23,2025-08-18,Completed
153,STU0445,Accenture,Cyber Security,2025-05-24,2025-07-02,Completed
154,STU0447,IBM,Machine Learning,2025-05-14,2025-08-23,Completed
155,STU0448,TCS,Cyber Security,2025-05-01,2025-06-29,Completed
156,STU0451,IBM,Data Science,2025-05-05,2025-07-01,Completed
157,STU0452,Wipro,Cyber Security,2025-06-28,2025-07-04,Completed
158,STU0454,Wipro,Data Science,2025-05-29,2025-06-12,Completed
159,STU0455,EY,Data Analytics,2025-05-25,2025-06-13,Completed
160,STU0458,Accenture,Web Development,2025-05-13,2025-06-06,Completed
161,STU0459,KPMG,Machine Learning,2025-05-24,2025-07-22,Completed
162,STU0463,KPMG,Cloud Computing,2025-05-20,2025-07-12,Ongoing
163,STU0464,Capgemini,Machine Learning,2025-05-10,2025-08-23,Completed
164,STU0466,TCS,Data Analytics,2025-05-27,2025-06-22,Ongoing
165,STU0469,TCS,Machine Learning,2025-05-21,2025-06-09,Completed
166,STU0470,Accenture,Web Development,2025-05-03,2025-08-23,Completed
167,STU0477,Deloitte,Machine Learning,2025-05-22,2025-07-20,Completed
168,STU0478,EY,Data Science,2025-05-25,2025-08-18,Completed
169,STU0480,Wipro,Machine Learning,2025-05-10,2025-08-04,Completed
170,STU0481,Infosys,Cyber Security,2025-05-22,2025-08-11,Completed
171,STU0486,TCS,Software Development,2025-05-12,2025-06-10,Completed
172,STU0492,Accenture,Software Development,2025-06-04,2025-08-03,Completed
173,STU0493,Microsoft,Machine Learning,2025-06-23,2025-07-05,Ongoing
174,STU0499,Accenture,Machine Learning,2025-05-20,2025-06-17,Ongoing
175,STU0501,EY,Data Science,2025-05-09,2025-08-24,Completed
176,STU0503,IBM,Cyber Security,2025-05-24,2025-07-29,Completed
177,STU0505,Infosys,Data Analytics,2025-05-19,2025-08-11,Completed
178,STU0509,Infosys,Web Development,2025-05-16,2025-06-08,Completed
179,STU0514,Capgemini,Data Science,2025-05-04,2025-07-12,Completed
180,STU0518,Infosys,Cloud Computing,2025-05-22,2025-07-21,Completed
181,STU0522,TCS,Machine Learning,2025-06-22,2025-07-23,Completed
182,STU0523,Deloitte,Data Science,2025-06-03,2025-08-23,Completed
183,STU0525,Accenture,Web Development,2025-06-27,2025-07-12,Completed
184,STU0526,IBM,Cyber Security,2025-06-02,2025-07-09,Completed
185,STU0528,Infosys,Machine Learning,2025-06-09,2025-08-14,Cancelled
186,STU0529,Deloitte,Machine Learning,2025-05-13,2025-07-17,Completed
187,STU0530,Microsoft,Data Analytics,2025-05-12,2025-08-01,Completed
188,STU0533,Capgemini,Web Development,2025-05-06,2025-07-06,Ongoing
189,STU0535,KPMG,Cloud Computing,2025-06-17,2025-06-26,Ongoing
190,STU0541,KPMG,Data Science,2025-05-08,2025-08-13,Completed
191,STU0542,Deloitte,Data Science,2025-06-08,2025-07-23,Completed
192,STU0547,IBM,Cloud Computing,2025-05-29,2025-06-04,Completed
193,STU0549,IBM,Data Analytics,2025-06-29,2025-08-11,Completed
194,STU0551,Infosys,Cloud Computing,2025-06-09,2025-07-12,Completed
195,STU0552,Accenture,Machine Learning,2025-05-16,2025-08-27,Completed
196,STU0553,Wipro,Machine Learning,2025-06-03,2025-06-28,Completed
197,STU0555,Wipro,Software Development,2025-05-04,2025-06-27,Completed
198,STU0559,Microsoft,Software Development,2025-05-29,2025-08-24,Completed
199,STU0566,Wipro,Software Development,2025-05-29,2025-08-19,Completed
200,STU0568,Wipro,Cloud Computing,2025-06-05,2025-08-20,Ongoing
201,STU0569,Deloitte,Data Science,2025-05-20,2025-07-14,Completed
202,STU0572,Capgemini,Cyber Security,2025-05-15,2025-06-08,Completed
203,STU0575,KPMG,Software Development,2025-05-17,2025-08-23,Completed
204,STU0579,Capgemini,Data Analytics,2025-06-01,2025-07-23,Ongoing
205,STU0580,Microsoft,Machine Learning,2025-05-18,2025-08-25,Completed
206,STU0584,TCS,Software Development,2025-05-22,2025-08-03,Completed
207,STU0585,Accenture,Cloud Computing,2025-05-10,2025-07-12,Completed
208,STU0592,Accenture,Data Science,2025-06-15,2025-08-14,Completed
209,STU0599,Infosys,Data Analytics,2025-05-12,2025-07-06,Completed
210,STU0603,KPMG,Machine Learning,2025-05-07,2025-07-19,Completed
211,STU0606,Infosys,Cyber Security,2025-05-28,2025-07-30,Completed
212,STU0607,Microsoft,Web Development,2025-05-28,2025-07-30,Completed
213,STU0609,KPMG,Cloud Computing,2025-05-28,2025-08-13,Completed
214,STU0611,Microsoft,Web Development,2025-06-02,2025-06-07,Completed
215,STU0612,EY,Cyber Security,2025-05-20,2025-07-09,Completed
216,STU0616,Accenture,Cloud Computing,2025-06-27,2025-07-19,Ongoing
217,STU0617,Wipro,Cloud Computing,2025-05-30,2025-06-18,Completed
218,STU0625,Infosys,Cloud Computing,2025-06-28,2025-07-22,Completed
219,STU0626,KPMG,Web Development,2025-06-24,2025-07-24,Completed
220,STU0627,Accenture,Cyber Security,2025-06-02,2025-06-21,Completed
221,STU0628,Capgemini,Cloud Computing,2025-06-19,2025-08-16,Completed
222,STU0629,Wipro,Cyber Security,2025-06-20,2025-06-11,Completed
223,STU0634,Capgemini,Data Science,2025-06-13,2025-06-22,Ongoing
224,STU0645,TCS,Software Development,2025-06-15,2025-06-27,Completed
225,STU0648,TCS,Machine Learning,2025-05-23,2025-08-21,Ongoing
226,STU0652,Wipro,Software Development,2025-05-23,2025-06-14,Completed
227,STU0654,EY,Software Development,2025-05-09,2025-06-19,Completed
228,STU0664,IBM,Machine Learning,2025-05-18,2025-07-04,Ongoing
229,STU0665,IBM,Cyber Security,2025-05-24,2025-07-04,Ongoing
230,STU0671,Infosys,Software Development,2025-05-12,2025-06-26,Ongoing
231,STU0672,Deloitte,Cyber Security,2025-06-29,2025-06-11,Ongoing
232,STU0675,TCS,Data Science,2025-05-26,2025-08-17,Completed
233,STU0679,Infosys,Cyber Security,2025-05-28,2025-07-16,Ongoing
234,STU0686,IBM,Cyber Security,2025-05-03,2025-06-09,Completed
235,STU0689,Infosys,Machine Learning,2025-06-16,2025-07-23,Completed
236,STU0695,IBM,Web Development,2025-05-31,2025-06-13,Completed
237,STU0697,Deloitte,Web Development,2025-06-05,2025-06-26,Completed
238,STU0698,Wipro,Data Science,2025-06-04,2025-06-08,Completed
239,STU0699,Wipro,Data Science,2025-05-16,2025-08-05,Completed
240,STU0701,EY,Cyber Security,2025-05-27,2025-07-24,Completed
241,STU0706,Wipro,Data Analytics,2025-05-27,2025-08-15,Completed
242,STU0710,Wipro,Web Development,2025-05-04,2025-08-18,Ongoing
243,STU0712,Accenture,Software Development,2025-06-29,2025-07-21,Completed
244,STU0713,Accenture,Web Development,2025-06-05,2025-08-19,Ongoing
245,STU0715,EY,Data Science,2025-05-18,2025-08-02,Completed
246,STU0717,Wipro,Software Development,2025-06-23,2025-07-11,Completed
247,STU0718,IBM,Machine Learning,2025-06-14,2025-06-07,Completed
248,STU0719,Infosys,Web Development,2025-05-23,2025-08-25,Completed
249,STU0723,EY,Data Science,2025-06-02,2025-06-27,Completed
250,STU0726,Deloitte,Web Development,2025-05-27,2025-06-20,Completed
251,STU0731,TCS,Cloud Computing,2025-05-17,2025-08-19,Ongoing
252,STU0732,IBM,Data Science,2025-05-02,2025-06-23,Ongoing
253,STU0739,Accenture,Data Science,2025-05-15,2025-06-12,Ongoing
254,STU0746,Capgemini,Data Science,2025-05-20,2025-06-26,Completed
255,STU0748,Accenture,Software Development,2025-06-04,2025-06-27,Completed
256,STU0753,Microsoft,Cloud Computing,2025-05-14,2025-06-20,Completed
257,STU0754,Infosys,Cyber Security,2025-06-18,2025-08-22,Completed
258,STU0755,Deloitte,Cloud Computing,2025-06-04,2025-07-23,Completed
259,STU0756,IBM,Machine Learning,2025-05-17,2025-06-20,Ongoing
260,STU0757,IBM,Cloud Computing,2025-06-04,2025-07-16,Ongoing
261,STU0761,IBM,Data Analytics,2025-06-05,2025-06-12,Cancelled
262,STU0767,Deloitte,Software Development,2025-06-10,2025-07-18,Completed
263,STU0768,EY,Data Science,2025-05-15,2025-06-10,Completed
264,STU0769,Microsoft,Cyber Security,2025-06-14,2025-08-23,Ongoing
265,STU0771,Accenture,Cloud Computing,2025-06-16,2025-06-13,Ongoing
266,STU0772,KPMG,Cyber Security,2025-06-07,2025-06-12,Completed
267,STU0774,Infosys,Web Development,2025-05-07,2025-08-14,Completed
268,STU0775,Microsoft,Cyber Security,2025-05-27,2025-08-03,Completed
269,STU0777,Microsoft,Data Analytics,2025-05-17,2025-08-06,Completed
270,STU0779,Deloitte,Machine Learning,2025-05-07,2025-08-29,Cancelled
271,STU0781,KPMG,Cloud Computing,2025-05-14,2025-07-06,Completed
272,STU0782,Capgemini,Cloud Computing,2025-06-06,2025-06-03,Completed
273,STU0785,Infosys,Data Science,2025-06-29,2025-08-06,Completed
274,STU0786,IBM,Cyber Security,2025-05-08,2025-07-23,Completed
275,STU0793,KPMG,Web Development,2025-06-27,2025-06-03,Completed
276,STU0794,Microsoft,Data Analytics,2025-06-19,2025-06-02,Completed
277,STU0800,Deloitte,Cyber Security,2025-05-09,2025-07-29,Completed
278,STU0803,Wipro,Software Development,2025-05-28,2025-06-18,Ongoing
279,STU0805,IBM,Web Development,2025-05-13,2025-07-22,Cancelled
280,STU0810,Infosys,Data Science,2025-06-20,2025-08-15,Completed
281,STU0812,KPMG,Cyber Security,2025-05-03,2025-08-28,Ongoing
282,STU0813,IBM,Web Development,2025-06-07,2025-07-01,Completed
283,STU0814,Capgemini,Cloud Computing,2025-05-23,2025-06-02,Completed
284,STU0815,EY,Machine Learning,2025-06-12,2025-08-25,Completed
285,STU0828,Microsoft,Web Development,2025-05-16,2025-06-22,Completed
286,STU0831,Microsoft,Cyber Security,2025-05-21,2025-07-19,Ongoing
287,STU0834,KPMG,Data Science,2025-06-10,2025-07-03,Completed
288,STU0835,Accenture,Software Development,2025-06-26,2025-06-13,Ongoing
289,STU0838,Wipro,Web Development,2025-05-10,2025-06-09,Completed
290,STU0841,KPMG,Data Analytics,2025-06-25,2025-06-16,Completed
291,STU0843,EY,Cyber Security,2025-06-03,2025-07-22,Completed
292,STU0844,KPMG,Cyber Security,2025-05-06,2025-07-17,Ongoing
293,STU0845,IBM,Data Science,2025-05-13,2025-06-08,Completed
294,STU0855,Capgemini,Data Analytics,2025-05-17,2025-08-14,Completed
295,STU0856,TCS,Cloud Computing,2025-06-04,2025-08-10,Completed
296,STU0861,TCS,Data Science,2025-06-25,2025-06-07,Completed
297,STU0863,Capgemini,Machine Learning,2025-05-03,2025-07-15,Completed
298,STU0866,IBM,Cloud Computing,2025-05-28,2025-07-24,Completed
299,STU0867,TCS,Data Analytics,2025-05-18,2025-06-02,Completed
300,STU0871,Microsoft,Data Science,2025-06-01,2025-07-14,Completed
301,STU0872,Infosys,Cyber Security,2025-06-07,2025-07-13,Completed
302,STU0873,TCS,Data Science,2025-06-08,2025-08-04,Completed
303,STU0875,Deloitte,Cyber Security,2025-05-09,2025-07-30,Completed
304,STU0876,Deloitte,Cloud Computing,2025-06-09,2025-06-30,Completed
305,STU0879,Deloitte,Cyber Security,2025-06-05,2025-07-11,Completed
306,STU0886,Infosys,Machine Learning,2025-06-27,2025-06-01,Completed
307,STU0887,Deloitte,Cloud Computing,2025-05-02,2025-08-17,Completed
308,STU0888,Accenture,Software Development,2025-05-17,2025-06-27,Completed
309,STU0889,Infosys,Data Analytics,2025-06-08,2025-07-19,Completed
310,STU0901,TCS,Machine Learning,2025-05-26,2025-06-21,Completed
311,STU0907,Deloitte,Software Development,2025-06-06,2025-08-12,Completed
312,STU0909,Infosys,Data Science,2025-05-27,2025-08-28,Completed
313,STU0910,EY,Data Analytics,2025-05-06,2025-08-19,Completed
314,STU0911,Deloitte,Data Science,2025-05-03,2025-06-08,Completed
315,STU0916,KPMG,Cyber Security,2025-06-19,2025-08-01,Completed
316,STU0921,EY,Software Development,2025-05-22,2025-08-15,Completed
317,STU0924,IBM,Data Analytics,2025-05-24,2025-07-08,Completed
318,STU0925,Accenture,Data Science,2025-06-25,2025-07-20,Completed
319,STU0926,Wipro,Cyber Security,2025-06-19,2025-06-11,Completed
320,STU0927,Wipro,Machine Learning,2025-06-08,2025-06-18,Completed
321,STU0930,KPMG,Cloud Computing,2025-05-14,2025-06-17,Completed
322,STU0931,Accenture,Machine Learning,2025-06-18,2025-08-03,Completed
323,STU0933,Accenture,Machine Learning,2025-05-12,2025-07-12,Ongoing
324,STU0935,IBM,Cyber Security,2025-05-06,2025-06-22,Completed
325,STU0941,Capgemini,Web Development,2025-06-10,2025-08-07,Ongoing
326,STU0945,TCS,Cyber Security,2025-05-09,2025-06-22,Ongoing
327,STU0949,Infosys,Web Development,2025-05-07,2025-08-02,Completed
328,STU0951,TCS,Software Development,2025-05-07,2025-08-10,Completed
329,STU0954,Deloitte,Machine Learning,2025-06-12,2025-06-11,Completed
330,STU0958,Deloitte,Software Development,2025-06-05,2025-07-12,Completed
331,STU0961,Wipro,Machine Learning,2025-06-23,2025-08-13,Completed
332,STU0962,Wipro,Data Analytics,2025-06-05,2025-06-15,Completed
333,STU0966,Deloitte,Machine Learning,2025-06-17,2025-06-24,Completed
334,STU0971,Infosys,Web Development,2025-06-26,2025-07-18,Completed
335,STU0972,Accenture,Cloud Computing,2025-06-07,2025-06-17,Completed
336,STU0973,Infosys,Data Science,2025-05-03,2025-08-04,Completed
337,STU0975,IBM,Cyber Security,2025-05-15,2025-08-24,Completed
338,STU0978,Accenture,Cloud Computing,2025-05-08,2025-07-14,Completed
339,STU0979,Infosys,Cloud Computing,2025-06-28,2025-06-29,Completed
340,STU0981,Deloitte,Web Development,2025-05-25,2025-07-30,Completed
341,STU0983,Infosys,Web Development,2025-05-28,2025-06-23,Completed
342,STU0985,Infosys,Data Analytics,2025-06-13,2025-07-28,Completed
343,STU0986,Capgemini,Cyber Security,2025-06-11,2025-06-23,Ongoing
344,STU0988,KPMG,Machine Learning,2025-05-05,2025-06-18,Ongoing
345,STU0991,KPMG,Cyber Security,2025-05-28,2025-07-14,Completed
346,STU0998,EY,Cloud Computing,2025-05-24,2025-07-07,Completed
347,STU0999,Infosys,Cyber Security,2025-06-02,2025-07-18,Completed
